"","lon","lat","osm_id","code","fclass","name"
"2",75.8623133,30.8575134,"53102901",2084,"college","Guru Nanak Dev Polytechnic"
"46",76.9653051,11.1016316,"244513191",2084,"college","Sri Ramakrishna Engineering College, vatamalaipalayam, coimbatore"
"108",76.9642928,11.1010104,"247177826",2084,"college","SREC BSC block"
"111",76.9661302,11.1005848,"247177878",2084,"college","SREC EEEE,ECE Lab"
"113",76.9657051,11.1022191,"247177880",2084,"college","Sri Ramakrishna Engineering college Main Block"
"115",79.9717629,12.9864437,"247432808",2084,"college","Sri Venkateswara College of Engineering - SVCE"
"165",80.2864261,13.1038179,"256347663",2084,"college","Bharathi Womens College"
"176",74.9664088,31.6355264,"259203889",2084,"college","Sri Guru Ram Das Medical College"
"229",79.173105,26.6607728,"266584756",2084,"college",NA
"248",77.6594242,12.8630037,"266739260",2084,"college","International Business School"
"309",76.956139,10.9369672,"279428204",2084,"college","Krishna Engineering College"
"329",76.9780502,11.0223964,"282874142",2084,"college","Sri Ramakrishna Arts and Science College for Womens"
"330",76.9877109,11.0219743,"282875093",2084,"college","SNR College of Arts and Science"
"332",76.9883559,11.0213038,"282875098",2084,"college","Sri Ramakrishna Dental College"
"344",76.7078353,11.4021309,"283615699",2084,"college","JSS college of pharmacy"
"353",76.9590823,10.9378137,"285883979",2084,"college","sri krishna arts and science college"
"370",75.8714311,11.2868651,"289607513",2084,"college","Kerala School of Mathematics"
"374",75.934214,11.32158,"289607528",2084,"college","National Institute of Technology Calicut"
"375",75.970999,11.245921,"289607534",2084,"college","Darul Uloom Vazhakkad"
"384",75.926982,11.314731,"289607841",2084,"college","NIELIT"
"472",76.975865,11.0159476,"295987842",2084,"college","Government Women's Polytechnic College"
"610",77.0086129,10.8629095,"308446556",2084,"college","Coimbature Marine College"
"627",80.1790855,12.620976,"308873774",2084,"college",NA
"676",77.1950379,30.0702251,"310620982",2084,"college","Asian institute of management studies"
"679",80.1794617,12.9849695,"310826943",2084,"college","AM Jain College"
"723",77.0632611,28.433704,"312101689",2084,"college","Amity Global School"
"745",80.2106221,12.9465906,"312911546",2084,"college","National Institute of Ocean Technology (NIOT)"
"755",80.1448235,12.5496672,"314081186",2084,"college","Hindustan Maritime Institute"
"1242",72.8287305,19.0566226,"347036704",2084,"college","St Andrew's College"
"1251",72.8352965,19.0641273,"347137895",2084,"college","National College"
"1252",72.8358458,19.0642652,"347138192",2084,"college","MMK College"
"1272",72.8244647,19.0684106,"348128686",2084,"college","Rizvi College"
"1275",75.7967904,29.939405,"348316233",2084,"college","BHS Bhattal IET"
"1278",75.589263,28.3689464,"348344062",2084,"college","BKEIT"
"1311",78.4421888,17.442328,"352750006",2084,"college","Royal Jr. College"
"1397",77.5157126,10.7625655,"354836048",2084,"college","Maharani College"
"1482",77.6354462,13.030411,"363078366",2084,"college","Indian Academy"
"1499",80.2052179,13.0141314,"364997861",2084,"college","Central Institute of Plastic Engineering & Technology (CIPET)"
"1719",74.668674,30.9078704,"387414520",2084,"college","Genesis Institute"
"1720",74.6527953,30.9160443,"387414608",2084,"college","SBS College"
"1748",76.6768364,11.4211768,"392233687",2084,"college","Govt. Polytechnic college"
"1817",78.9553504,26.9684331,"397129027",2084,"college",NA
"1913",77.6430057,13.0581772,"410860107",2084,"college","Kristu Jayanti College"
"1915",77.6355896,13.0859051,"410861197",2084,"college","Karnataka College"
"2003",77.5634677,13.0054303,"428548272",2084,"college","MES College of Arts and Science"
"2036",72.5517045,23.0329052,"429795953",2084,"college","St. Xavier's College"
"2037",72.5537987,23.0337029,"429795955",2084,"college","SLIMS - Som Lalit Institute of Management Studies"
"2045",80.1397503,12.9489729,"432468191",2084,"college","Zonal Office"
"2047",80.1402203,12.9482214,"432468193",2084,"college","Department of Electonics Engineering"
"2048",80.1400355,12.9479901,"432468194",2084,"college","Admin Block"
"2049",80.1397886,12.9481562,"432468195",2084,"college","Lecture Hall Complex"
"2050",80.1407986,12.9486173,"432468196",2084,"college","Department of Aeronautical Engineering"
"2053",80.1409786,12.9491126,"432468200",2084,"college","Mechatronics"
"2054",80.1410981,12.9492943,"432468201",2084,"college","Department of Production Technology"
"2057",80.1403398,12.9478814,"432468205",2084,"college","Department of Automobile Engineering"
"2064",80.1401916,12.9475196,"432468218",2084,"college","Electrical Engineering Block"
"2066",80.1399654,12.9473892,"432468227",2084,"college","Computer Simulation Lab"
"2067",80.1395161,12.9474343,"432468228",2084,"college","Instrumentation Engineering Block-1"
"2070",80.139418,12.9486076,"432468246",2084,"college","Instrumentation Engineering Block-2"
"2084",76.529683,9.5881718,"435762232",2084,"college","Baselios College"
"2085",76.5280588,9.5893678,"435762233",2084,"college","BCM College"
"2157",76.3305756,30.648205,"444523286",2084,"college","RIMT"
"2159",75.7606919,31.2193816,"444523290",2084,"college","Ramgarhia Engineering College"
"2160",75.7592566,31.2208852,"444523291",2084,"college","Ramgarhia Polytecnic"
"2166",77.5681179,13.0151185,"446045650",2084,"college","Centre for Product Design and Manufacturing (CPDM)"
"2168",77.5681206,13.0155209,"446046410",2084,"college","Interdisciplinary Centre for Energy Research"
"2169",77.5683888,13.0158581,"446049321",2084,"college","Interdisciplinary Centre for Water Research"
"2170",77.5682496,13.0164088,"446049323",2084,"college","Organic Chemistry"
"2171",77.5682738,13.016856,"446049326",2084,"college","Inorganic and Physical Chemistry"
"2172",77.5659752,13.0173833,"446054726",2084,"college","Engineering stores"
"2173",77.5660054,13.0170229,"446054727",2084,"college","Physics"
"2174",77.5648502,13.0171773,"446055066",2084,"college","INSDOC"
"2183",77.5708022,13.0187874,"446059520",2084,"college","Department of Electronic Systems Engineering"
"2184",77.5700198,13.0175447,"446059521",2084,"college","Joint advanced technology programme"
"2185",77.5645301,13.0185648,"446059863",2084,"college","Amenities Hall"
"2186",77.5649882,13.018047,"446059864",2084,"college","Tata Memorial Club"
"2219",77.6329007,13.0268228,"454090309",2084,"college","Florida College of Management and Computer Science"
"2220",77.6329391,13.0269256,"454090311",2084,"college","Florida College of Education"
"2221",77.6330115,13.0271338,"454090312",2084,"college","Florence College of Physiotherapy"
"2244",79.9711278,12.9888607,"454193658",2084,"college","Research and Deevelopment"
"2246",79.9716513,12.9885262,"454194685",2084,"college","Workshop"
"2247",79.972338,12.9884426,"454194870",2084,"college","Workshop"
"2248",79.9730847,12.9874138,"454195125",2084,"college","Computer Science"
"2249",79.9727414,12.9877986,"454195129",2084,"college","Mechanical"
"2250",79.9726813,12.9871211,"454195516",2084,"college","Applied Science"
"2251",79.9723723,12.9874306,"454195584",2084,"college","Electronics"
"2252",79.9722092,12.9878153,"454195601",2084,"college","Chemical"
"2253",79.9725783,12.9872298,"454195953",2084,"college","MCA"
"2254",79.9720461,12.9869873,"454196897",2084,"college","Administration"
"2262",79.9714711,12.9877902,"454201394",2084,"college","Marine"
"2263",79.9711192,12.9878404,"454201424",2084,"college","Workshop"
"2264",79.9718659,12.9878738,"454201428",2084,"college","Workshop"
"2265",79.9716084,12.9873469,"454201440",2084,"college","Biotechnology"
"2266",79.9732649,12.9871211,"454205428",2084,"college","Information Technology"
"2268",79.9728358,12.9880662,"454207145",2084,"college","CRB3"
"2269",79.972398,12.986636,"454207263",2084,"college","CRB1"
"2270",79.9725869,12.9868033,"454207328",2084,"college","CRB2"
"2280",72.8144451,18.9789304,"456160323",2084,"college","National Medical College"
"2289",72.817569,18.9903487,"456313288",2084,"college","Nehru Science Centre"
"2350",79.9274322,12.6332263,"469108935",2084,"college","Sri Andal Alagar Engineering College"
"2421",75.8496535,30.9194705,"477193661",2084,"college","Master Tara Singh Women College"
"2491",73.2933546,17.0256832,"485571835",2084,"college","College For Women"
"2745",78.8168407,10.2571993,"522866016",2084,"college","Subramaniam Polytechnic College"
"2768",78.808554,10.3789062,"526600703",2084,"college","Government Women's Arts College"
"2791",80.960557,26.8708952,"534852981",2084,"college","Central Bank of India Staff Training College"
"2892",76.6434107,12.3089417,"540642064",2084,"college","Maharaja's High School"
"2986",76.6415174,12.2839716,"553052578",2084,"college","National Institute of Engineering"
"2987",76.6412739,12.2814743,"553052626",2084,"college","Golden Jubliee Block"
"3101",77.662879,13.0556065,"565301087",2084,"college","S.S.R. College of Science and Management Studies"
"3190",80.1394538,12.5709365,"577328882",2084,"college","Great Lakes Institute Of Management"
"3285",76.9056048,31.5309122,"583530268",2084,"college","Happy Young Industrial Training Center"
"3289",76.898393,31.5362106,"583535707",2084,"college","Rajkiya Sanskrit Mahavidyalaya"
"3344",77.5845772,13.026313,"593146903",2084,"college","National Bureau of Agriculturally Important Insects"
"3387",77.6665076,13.0769358,"597066210",2084,"college","Vijaya Vittala Institute of Technology"
"3388",77.6654991,13.0763297,"597066214",2084,"college","Alpha College of Engineering"
"3393",76.4680668,30.3645575,"597102381",2084,"college","Command"
"3398",76.6772284,30.5309337,"597102403",2084,"college","Gian Sagar"
"3399",76.6834593,30.5344881,"597102405",2084,"college","Dr. IT"
"3408",80.0162591,13.0261044,"597659101",2084,"college","Saveetha Engineering College"
"3415",80.1358978,12.954715,"598565195",2084,"college","Tagore College of Arts and Science"
"3484",75.8035214,11.1915356,"604938729",2084,"college","Tasara Weaving Centre"
"3508",75.5970371,21.0039853,"606361715",2084,"college","Godavari College Of Engineering"
"3559",80.2106862,13.0798455,"612556884",2084,"college","Anna Adharsh College for Women"
"3626",76.5840412,9.4004093,"622251113",2084,"college","Mar Thoma College"
"3630",81.3832747,21.1962101,"622355337",2084,"college","Bhilai Institute of Technology"
"3683",78.4970385,17.3657622,"626897216",2084,"college","Chanchalguda Jr College"
"3746",77.5660533,13.0185383,"628510731",2084,"college","IISc Alumni Association"
"3755",80.1563571,17.2563476,"631603235",2084,"college","Sree Kavitha Degree & PG college"
"3780",78.5092128,17.4014928,"634123966",2084,"college","Hindi Maha Vidyalaya"
"3806",80.1399487,17.259179,"636041712",2084,"college","Excellent Junior College"
"3815",77.5707969,13.0184948,"638379029",2084,"college","Computer Aided Design Laboratory"
