"","lon","lat","osm_id","code","fclass","name"
"13",75.8618617,30.8855229,"161995461",2110,"hospital","Pahwa Hospital"
"33",75.79153,30.8884203,"198490585",2110,"hospital","Gurdev Hospital"
"37",75.9795755,30.8406998,"243415888",2110,"hospital","Sahnewal Civil Hosp."
"49",78.9608692,16.8862748,"245638783",2110,"hospital","Nampalli"
"62",72.8936069,19.0611444,"245665571",2110,"hospital","Maa hospital"
"107",76.9639655,11.1009225,"247177822",2110,"hospital","SREC Health Center"
"141",77.0876091,28.4509257,"249132373",2110,"hospital","Paras Hospital"
"142",77.102687,28.4392872,"249132374",2110,"hospital","Alchemist"
"164",80.2844239,13.1063044,"256346630",2110,"hospital","Stanley Medical College and Hospital"
"170",80.2562065,13.0446481,"258361740",2110,"hospital","Aswene Soundarya Hospital"
"171",80.277269,13.0806875,"258890793",2110,"hospital","Government General Hospital"
"173",80.2792912,13.0922007,"258978416",2110,"hospital","Amrit Hospital"
"174",80.2796178,13.0985007,"258978417",2110,"hospital","Vikram Hospital"
"178",80.2160862,13.08438,"262452334",2110,"hospital","City Tower Hospital"
"224",77.0759312,28.462841,"266535263",2110,"hospital","Max Hospital"
"250",77.6642727,12.8550625,"266740082",2110,"hospital","Swamy Hospital"
"266",77.6774852,12.9134182,"267214379",2110,"hospital","Clinic"
"289",76.6140051,27.5711322,"274498025",2110,"hospital","Children Hospital"
"321",76.7002627,11.4085627,"281903680",2110,"hospital","Government Hospital"
"331",76.9883526,11.0212988,"282875097",2110,"hospital","Sri Ramakrishna Dental Hospital"
"366",80.2905623,13.1289367,"289486820",2110,"hospital",NA
"367",80.2928964,13.1287299,"289486823",2110,"hospital","Communicable Diseases Hospital"
"385",75.837015,11.272142,"289607867",2110,"hospital","Medical College Hospital,Calicut"
"386",75.7920378,11.2592698,"289607873",2110,"hospital","Baby Memorial Hospital"
"403",82.954338,25.2780626,"292735459",2110,"hospital",NA
"405",83.0055074,25.2929029,"293208846",2110,"hospital","Mata Anandmayee Hosiptal"
"408",83.0021003,25.2986311,"293217529",2110,"hospital",NA
"411",83.0050584,25.3162104,"293268558",2110,"hospital",NA
"412",82.9959608,25.3384937,"293440150",2110,"hospital",NA
"464",83.0372616,25.3460988,"294127865",2110,"hospital","Punjabi Hospital"
"465",80.2130857,13.0844714,"295544111",2110,"hospital",NA
"467",80.2069819,13.08217,"295552091",2110,"hospital","Sunadaram"
"468",80.1994692,13.0889329,"295552092",2110,"hospital","Sridevi"
"481",79.0974689,21.1295149,"297648562",2110,"hospital","Govt. Medical College"
"484",74.8542757,12.8676584,"298371831",2110,"hospital","Unity Hospital"
"494",79.0936492,21.1541868,"299190531",2110,"hospital","Indira Gandhi Medical College & Hospital"
"502",77.3494026,28.5854878,"300138103",2110,"hospital","Prakash Hospital"
"503",80.2596052,13.0743685,"300212956",2110,"hospital","Police Hospital"
"507",77.0733143,28.4715039,"301037155",2110,"hospital","Umkal Hospital"
"509",80.2074525,13.0346354,"301186254",2110,"hospital","ESI Hospital"
"537",80.2451803,13.0336295,"303290957",2110,"hospital","Apollo Speciality Cancer Hospital"
"541",80.2572467,13.0336624,"303590777",2110,"hospital","Corporation Hospital"
"553",77.5857517,12.9235041,"303924572",2110,"hospital","Shanti Hospital"
"556",77.6186202,12.9293295,"304277616",2110,"hospital","St Johns Medical College & Hospital"
"581",77.6764489,12.9263518,"307401529",2110,"hospital","Apollo Hospital"
"602",74.8546023,12.8664949,"308214432",2110,"hospital","Highland Hospital"
"620",77.3529095,28.5818659,"308730337",2110,"hospital","Sumitra Hospital"
"624",80.1846471,12.9787682,"308811614",2110,"hospital","Hindu Mission Hospital"
"625",77.6349897,12.9155759,"308866071",2110,"hospital","Narayana Hrudayalaya Dental Clinic"
"663",76.7088915,11.4156575,"309864918",2110,"hospital","Parvathy Nursing Home"
"667",80.1972947,13.0194622,"310015097",2110,"hospital","Military Hospital"
"668",77.6419101,12.9129006,"310393723",2110,"hospital","Dr Ganesh Medical and Diabetic Clinic"
"672",80.2800457,13.0811084,"310504819",2110,"hospital","Madras Medical College"
"673",80.281264,13.0829605,"310504820",2110,"hospital","Government Dental Hospital & College"
"678",80.2433369,13.0785984,"310732936",2110,"hospital","Kilpauk Medical College"
"685",80.1906778,12.9846315,"310909754",2110,"hospital","Hariharan Hospital"
"686",80.1904116,12.9887616,"310910945",2110,"hospital","BM Hospital"
"697",80.2872735,13.1057192,"311311521",2110,"hospital","Stanley Medical"
"700",80.1841397,12.973463,"311429396",2110,"hospital","KF Hospital"
"706",76.9789582,29.6067647,"311937810",2110,"hospital","Aparna hospital"
"708",80.239884,13.0061338,"312000326",2110,"hospital","Cancer Institute"
"746",80.1428047,13.0380979,"313027868",2110,"hospital","Sri Ramachandra Medical Centre and Hospital"
"767",80.2650637,13.0545927,"315901284",2110,"hospital","Royapettah General Hospital"
"774",73.0686005,8.3079,"316624606",2110,"hospital","leper colony"
"806",80.2590662,13.07205,"320275820",2110,"hospital","Govt Maternity Hospital"
"807",80.2571269,13.0733772,"320275824",2110,"hospital","Institute of Child Health"
"808",80.2591463,13.0735431,"320275839",2110,"hospital","Institute of Obstetrics and Gynaecology dd"
"827",76.9708723,11.0213634,"321420767",2110,"hospital","Ellen Multispeciality Hospital"
"828",76.9710726,11.0201233,"321420772",2110,"hospital","GP Hospital"
"835",76.9671438,11.0110912,"321420833",2110,"hospital","Arunn Surgery"
"850",80.2091017,12.9488756,"322719722",2110,"hospital","Dr Kamakshi Memorial"
"898",74.8765817,31.6333898,"327240591",2110,"hospital","S. Waryam Singh Hospital"
"902",73.2089837,22.33499,"329049159",2110,"hospital","Metro Hospital"
"903",73.1989415,22.3176736,"329053557",2110,"hospital","Mental Hospital"
"913",76.9513725,11.0028292,"330069980",2110,"hospital","Saravana Dental Care Hospital"
"914",76.9577001,11.0092345,"330070075",2110,"hospital","Senthil Hospital"
"915",76.9619316,11.0095256,"330070077",2110,"hospital","Rajarathinam Hospital"
"918",80.2316362,12.9930311,"330612425",2110,"hospital","IIT Hospital"
"986",76.9715023,11.0004227,"337604253",2110,"hospital","KG Hospital"
"1026",76.7049204,8.7353732,"340276933",2110,"hospital","Nature Cure Hospital"
"1125",73.79792,17.9214501,"342117738",2110,"hospital","Bel Air Hospital"
"1148",72.8832936,19.274142,"342119964",2110,"hospital","Saint Anne's Hospital"
"1192",78.4509752,17.4443072,"343312950",2110,"hospital","Nature Cure Hospital"
"1197",76.955239,11.0165542,"343436821",2110,"hospital","Sengaliappan Nursing Home"
"1210",76.34672,10.01816,"343711683",2110,"hospital","Co-operative Hospital"
"1213",76.33906,10.02517,"343719028",2110,"hospital","Sunrise Hospital"
"1240",72.8321317,19.0516428,"346643796",2110,"hospital","National Centre for Training and Research into Cerebral Palsy"
"1246",72.8336432,19.05718,"347120067",2110,"hospital","Bhabha Hospital"
"1288",78.4297511,17.4173437,"349216275",2110,"hospital","Indo American Cancer Institute and Research Centre"
"1292",78.3917277,17.4406755,"349267517",2110,"hospital","Vikram Hospitals"
"1297",78.3860746,17.4444337,"349270023",2110,"hospital","Image Hospitals"
"1314",78.438361,17.4481068,"352754325",2110,"hospital","ESI Hospital"
"1331",80.159635,12.5037319,"353073527",2110,"hospital","DAE Hospital"
"1351",70.9053368,26.9170423,"353703062",2110,"hospital","Maheswan Hospital"
"1417",73.0184903,26.2832002,"354966706",2110,"hospital","महात्मा गाँधी हॉस्पीटल  | Mahatma Gandhi Hospital"
"1494",77.5745968,12.9207173,"364629422",2110,"hospital","JBS Hospital"
"1496",77.584433,12.9231684,"364629734",2110,"hospital",NA
"1497",80.1858412,13.0211808,"364650995",2110,"hospital","MIOT Hospital"
"1539",80.196424,13.0123086,"367795605",2110,"hospital","St. Thomas Hospital"
"1544",80.1631378,12.5274531,"368307280",2110,"hospital","Govt Primary Health Centre"
"1618",80.1949734,13.009781,"370967673",2110,"hospital",NA
"1641",80.2441495,13.0294436,"375668400",2110,"hospital","Venkateswara Hospital"
"1724",77.8253132,12.7289287,"389493285",2110,"hospital","Government Hospital"
"1772",77.1520262,28.5862731,"395135232",2110,"hospital","Army Hospital"
"1806",79.350315,13.6800047,"395733420",2110,"hospital","Ayurvedic Hospital"
"1812",79.3466609,13.681619,"395733450",2110,"hospital",NA
"1816",78.9570054,26.9703467,"397129025",2110,"hospital",NA
"1878",75.8250965,30.9002751,"401433950",2110,"hospital","Amarjit Nursing Home"
"1894",80.2623026,13.0386674,"407984880",2110,"hospital","St Isabella Hospital"
"1895",80.2615455,13.0376899,"407985322",2110,"hospital","Meenakshi Hospital"
"1918",77.5829335,13.1040682,"410864237",2110,"hospital","Railway Hospital"
"1937",77.0328448,28.4508125,"414735815",2110,"hospital","Pushpanjali Hospital"
"1949",80.2387372,13.0772224,"415914127",2110,"hospital","The Guest Hospital"
"1973",80.2686985,12.9953347,"417751169",2110,"hospital","Santosh Hospital"
"1996",76.6146801,9.4277588,"425164783",2110,"hospital","CSI Hospital, Mundiappally"
"2101",77.2352578,28.5667041,"438049082",2110,"hospital","Moolchand Hospital"
"2107",72.5432503,23.0085819,"440305869",2110,"hospital","Jivraj Mehta Hospital"
"2110",72.5312683,23.0487566,"440320413",2110,"hospital","Sterling Hospital"
"2111",72.5244362,23.0494437,"440320414",2110,"hospital","SAL Hospital"
"2125",76.7762212,30.7611013,"441046459",2110,"hospital","PGI Emergency"
"2137",80.2067733,12.9653846,"442508332",2110,"hospital","Sarswathi Hospital"
"2142",77.6409543,13.0371728,"443612463",2110,"hospital","Sri Vijayalakshmi Pragathi Hospital"
"2192",77.0722766,28.4326268,"448276346",2110,"hospital","Artmemis"
"2197",77.0333912,28.461191,"449449815",2110,"hospital",NA
"2204",75.8195586,30.8893778,"450591215",2110,"hospital","gracian hospital"
"2231",77.6364728,13.0185503,"454142398",2110,"hospital","Sathya Hospital"
"2294",72.9998192,19.1486707,"457068089",2110,"hospital",NA
"2307",77.6624706,12.8500655,"459464857",2110,"hospital","Ramakrishna Hospital"
"2311",80.2041657,13.05244,"459635161",2110,"hospital","Apollo Clinic & Pharmacy"
"2318",80.2070144,13.0483819,"459648701",2110,"hospital","Vijaya Heart Centre"
"2325",77.301604,28.6458035,"459765671",2110,"hospital","Shanti Mukand Hospital"
"2326",77.3008316,28.645246,"459766666",2110,"hospital","Deepak Memorial Hospital"
"2341",72.8057482,18.9686378,"462257802",2110,"hospital","Parsi General Hospital"
"2344",76.6323943,12.3383212,"465192842",2110,"hospital","ESI Hospital"
"2345",76.6300768,12.3413901,"465192870",2110,"hospital","P K Sanitorium"
"2348",76.6271758,12.331563,"465196073",2110,"hospital","Adithya Hospital"
"2423",75.8591291,30.8798617,"477193664",2110,"hospital","S.K."
"2435",77.0649209,28.3509265,"477905070",2110,"hospital","Astha Hospital"
"2437",77.0492399,28.3905755,"477905079",2110,"hospital","Gobind Hospital"
"2439",77.0455899,28.3978752,"477905091",2110,"hospital","Sai Heart and Trauma Center"
"2494",77.5529759,34.5491569,"485594432",2110,"hospital",NA
"2502",78.1680282,34.0329113,"485617329",2110,"hospital",NA
"2611",77.482632,13.0524052,"503002369",2110,"hospital","Jindal Naturecure Institute"
"2668",78.4478775,17.4417142,"513439512",2110,"hospital","Ameerpet Government Hospital"
"2669",78.4480341,17.4422795,"513439517",2110,"hospital","Sri Vijaya Hospitals"
"2705",78.1420027,9.9267975,"518947889",2110,"hospital","PAMC Hospital (Pandian Advanced Medical Centre)"
"2712",78.1401139,9.921343,"518991792",2110,"hospital","Aravind Eye Hospital"
"2715",78.149058,9.9282094,"518991795",2110,"hospital","Apollo Speciality Hospitals"
"2724",78.1401058,9.9317265,"519011232",2110,"hospital","Government Vetinary Hospital"
"2727",77.5404756,12.9981679,"519549595",2110,"hospital","Chord Road Hospital"
"2748",78.8135488,10.2512627,"523575229",2110,"hospital","Government Hospital"
"2782",77.5436127,12.9978931,"530353033",2110,"hospital","Pristline Hospital"
"2839",78.4461255,17.4415414,"538425761",2110,"hospital","Sree Priya Multi Speciality Hospital"
"2899",80.1499411,13.1181104,"540658116",2110,"hospital","B M Ortho Hospital"
"2923",76.6412543,12.2945098,"542380669",2110,"hospital","Vinayaka Nursing Home"
"2924",76.6423443,12.2922036,"542383450",2110,"hospital","Ashoka Clinic"
"2935",79.1366071,10.7855114,"542920402",2110,"hospital","Govt Raja Mirasudar Hospital"
"2974",76.3442394,11.0611294,"549935042",2110,"hospital","MES Hospital"
"3222",73.2393372,19.1645468,"577511725",2110,"hospital","Dhanvantari Hospital"
"3234",77.5802836,12.9376734,"582384953",2110,"hospital","Bangalore Hospital"
