"","lon","lat","osm_id","code","fclass","name"
"36",75.9745287,30.8352537,"243415753",2001,"police","Police Station Sahnewal"
"100",72.9255342,19.0432972,"246445414",2001,"police","ASSTT. Comm. of police"
"106",76.9412412,11.0820675,"247177690",2001,"police","Thudiyalur Police Station"
"151",80.22946,13.0349573,"250363729",2001,"police","Mambalam Police Station"
"177",80.2637348,13.0520106,"259773441",2001,"police","Royapettah PS"
"187",80.2427681,13.0596173,"264481213",2001,"police",NA
"219",77.651371,12.9200997,"266472194",2001,"police","HSR Police station"
"226",79.1742208,26.6615399,"266584707",2001,"police",NA
"271",77.6719632,12.8854804,"267216389",2001,"police",NA
"316",73.9173998,18.5075612,"280430828",2001,"police",NA
"349",77.6820851,12.8263652,"283650908",2001,"police","Hebbagodi Police Station"
"357",75.8614661,30.8887587,"287047361",2001,"police","Police station Shimla puri"
"365",75.8384698,30.9155653,"289419951",2001,"police","Commissioner Of Police,  Residence"
"398",83.1453826,25.2719364,"292309756",2001,"police",NA
"437",92.7236,11.68299,"293685306",2001,"police","Haddo Police Station"
"461",82.9551296,25.3567333,"293757607",2001,"police",NA
"471",77.5583043,13.0181659,"295766640",2001,"police","DCP Bangalore North Traffic Police"
"495",75.8617488,32.8698242,"299338989",2001,"police","Road closed"
"506",80.2019683,12.9893957,"300468066",2001,"police","Adambakkam Police Station"
"525",80.2494881,13.048651,"301949978",2001,"police","Teynampet E2 PS"
"554",77.5813657,12.9285653,"303925790",2001,"police","Jayanagar 4th Block Police Station"
"582",77.6207016,12.9210921,"307407594",2001,"police","Madiwala Police Station"
"611",77.0083512,10.6571159,"308446629",2001,"police","Police Station"
"614",77.0184714,10.6565729,"308449858",2001,"police",NA
"642",77.3375263,28.5779649,"308931002",2001,"police",NA
"647",76.7173069,31.2292712,"309363099",2001,"police","Swarghat Police Station"
"653",76.9566101,8.5093716,"309609271",2001,"police",NA
"721",80.2557176,12.997814,"312025133",2001,"police","Adyar J2"
"754",80.192063,12.9814685,"313951548",2001,"police",NA
"814",80.2755071,13.0818276,"320968223",2001,"police","Central Station PS"
"815",80.2732996,13.0830613,"320968578",2001,"police","Chennai Central RPF"
"869",78.5259566,17.4215275,"324863029",2001,"police","Osmania University Police Station"
"947",77.0375117,28.4291623,"332066848",2001,"police","Islampur Police Station"
"948",77.0360665,28.4640597,"332066849",2001,"police","Sadar Police Station"
"949",77.0728536,28.4633512,"332066852",2001,"police","Sushant Lok Police Station"
"951",77.0660949,28.4863642,"332066861",2001,"police","Sirhaul Police Station"
"959",77.1742787,8.3307076,"334644593",2001,"police","RTO Check Post"
"960",77.1817641,8.3242251,"334644595",2001,"police","Tax Check Post"
"1007",80.200262,12.9991212,"339282419",2001,"police","B1 Saint Thomas Mount PS"
"1258",72.8356395,19.0560513,"347149556",2001,"police","Bandra police Station"
"1259",72.8371137,19.064037,"347152618",2001,"police","Khar Police Station"
"1263",72.8227048,19.0627604,"347169257",2001,"police","Bandra Police Commisioners Office"
"1277",75.396468,28.6279974,"348344024",2001,"police",NA
"1289",78.3961895,17.4396889,"349257371",2001,"police","Madhapur Police Station"
"1326",80.1533696,12.5037687,"353073504",2001,"police","Kalpakkam Police Station"
"1399",77.5240127,10.7313165,"354836500",2001,"police","Dharapuram Police Station"
"1401",80.1627472,12.5252544,"354890203",2001,"police","Sadras Police Station"
"1439",78.4478427,17.4414291,"355647260",2001,"police","SR Nagar Police Station"
"1473",77.6379362,13.0336201,"359313752",2001,"police","Hennur Police Station"
"1515",80.2004587,13.0696407,"366075241",2001,"police","Koyambedu Police Station"
"1551",76.6884781,11.412076,"369183249",2001,"police","E1 Police Station"
"1601",80.1990931,13.0100865,"370481197",2001,"police","Office, Police Commissioner"
"1619",80.1602489,13.0341993,"370969674",2001,"police","T15 SRMC PS"
"1630",80.1893833,13.0160535,"372172992",2001,"police","Nandabakkam Police Station"
"1634",77.5725395,13.0149251,"374216498",2001,"police","Sadhashivanagar Police Station"
"1728",80.2054415,13.0415108,"389948945",2001,"police","KK Nagar PS"
"1732",80.2974596,13.1345408,"390852677",2001,"police","N4 PS"
"1771",75.8046347,30.8882847,"395135046",2001,"police",NA
"1773",76.0845647,11.6031221,"395351685",2001,"police","Kalpetta Police Station"
"1834",79.3508215,13.6799238,"397987285",2001,"police","Vigilance and Security Office"
"1905",77.5938879,13.0951985,"410603052",2001,"police","Yelahanka Police Station"
"1920",80.1992562,13.0491123,"411318042",2001,"police","Virugambakkam Police Station"
"1957",80.2674177,13.03694,"416412274",2001,"police",NA
"1987",77.6514188,13.0601905,"419806860",2001,"police","Kothanur Police Station"
"2010",77.5983458,12.9762399,"428843493",2001,"police","Cubbon Park Police Station"
"2016",77.5695903,12.9966811,"428857750",2001,"police","Maleshwaram Police station"
"2152",75.8713574,30.8939791,"443719795",2001,"police","Division No. 6"
"2153",75.8872704,30.8855823,"443721937",2001,"police","DSP Industrial Area"
"2154",75.8874764,30.8853981,"443722121",2001,"police","Police Post Sherpur"
"2188",80.9460958,26.8471889,"447522086",2001,"police","Hazratganj Police Station"
"2193",78.04183,30.48908,"448416031",2001,"police",NA
"2301",77.6631389,12.839963,"459436210",2001,"police","Electronics City Police Station"
"2356",75.8403959,30.8884442,"469173455",2001,"police","Model Town"
"2358",76.9683775,8.4811954,"469711565",2001,"police","Karamana Police Station"
"2433",77.0681342,28.3445779,"477905051",2001,"police","Police Station Bhondsi"
"2482",77.1031506,28.4248272,"484649692",2001,"police","Police Station Sector 56"
"2542",77.5741507,12.9422105,"493493744",2001,"police","Basavangudi Police Station"
"2591",77.1233526,28.8638535,"496712261",2001,"police","Thana Kundli"
"2594",77.0732024,29.026639,"496712282",2001,"police","Murthal Police Station"
"2737",77.5495673,13.0486481,"521144416",2001,"police","Jalahalli Police Station"
"2781",77.5425698,12.9854915,"529897859",2001,"police","Basaveshwaranagar Police Station"
"2870",76.5577044,32.3263179,"540052521",2001,"police","Holi Police Station"
"2900",77.2537421,32.0022511,"540712765",2001,"police","Police Post Jari"
"2910",76.7947172,28.21575,"541319144",2001,"police","Police Aid Post dharuheda"
"2919",76.6505383,12.2979095,"541332036",2001,"police","K R Police station"
"2920",76.6428237,12.2976467,"541332070",2001,"police","Laxmipuram Police Station"
"3012",76.3245325,32.2387214,"559945084",2001,"police","Security Office of Dalai Lama"
"3149",73.2397067,19.1575441,"571374000",2001,"police","Kulgaon Police Station"
"3155",77.3782631,28.6378072,"571593163",2001,"police","Shipra Police station"
"3239",77.5931079,13.0247495,"582566949",2001,"police","RT Nagar Police Station"
"3282",76.9084089,31.5317179,"583231091",2001,"police","Sundernagar Colony Police Station"
"3300",76.8843342,31.5154506,"583541932",2001,"police","Police Station, Sundernagar"
"3322",75.8180511,11.2929118,"588397047",2001,"police","Chevayoor Police Station"
"3461",76.9500735,8.4984671,"600909319",2001,"police","City Police control room"
"3473",88.5304553,27.1729153,"603497501",2001,"police",NA
"3476",80.2810585,13.1086947,"603499198",2001,"police",NA
"3490",72.8303315,18.9453708,"605221901",2001,"police","Lokmanya Tilak Road Police Station"
"3493",72.8329727,18.9415892,"605222185",2001,"police","Azad Maidan Police Station"
"3603",75.4257645,31.2136873,"620379045",2001,"police",NA
"3674",78.4795827,17.367421,"626897029",2001,"police","commissioner office"
"3684",78.4999031,17.3655267,"626897218",2001,"police",NA
"3689",78.4820816,17.3714465,"626897291",2001,"police",NA
"3736",77.8427774,31.5650189,"627282368",2001,"police","Chaura Police Post"
"3738",77.9346545,31.5654024,"627290792",2001,"police","Police Station Bhabhanagar"
"3754",80.1399044,17.24898,"631560167",2001,"police","1 Town"
"3776",78.5133112,17.4076968,"634123609",2001,"police","Nallakunta Police Station"
"3886",88.3677291,22.5027682,"651795823",2001,"police","Jadavpur Police Station"
"3893",76.2441193,9.9671653,"653124705",2001,"police","Fort Cochi police station"
"3969",77.5945631,12.9850253,"660666061",2001,"police","Commisioner of Police"
"4039",77.5877623,12.9695368,"663317752",2001,"police","Police Headquarters"
"4098",88.344409,22.5393378,"663943188",2001,"police","Gokhale Road Police Quarters"
"4109",80.1389008,17.249763,"663981370",2001,"police","Railway Police station"
"4254",72.8334453,18.9250914,"669268336",2001,"police","Maharashtra Police Headquarters"
"4329",74.4511673,17.5923092,"672690548",2001,"police",NA
"4404",73.8788901,18.5243076,"674930856",2001,"police",NA
"4474",77.5831616,12.9609637,"683352671",2001,"police","S.J. Park Police"
"4487",80.1923421,13.0737484,"687175330",2001,"police","Police Booth"
"4488",80.1935705,13.0656907,"687177364",2001,"police","Police Booth"
"4509",77.5905691,12.928367,"691164726",2001,"police","Tilaknagar Police Station"
"4514",72.814174,18.9694498,"691522677",2001,"police","Tardeo Police Station"
"4584",78.5493729,17.4265322,"703543252",2001,"police",NA
"4595",76.6094398,9.747421,"705780792",2001,"police","Marangattupilly Police Station"
"4633",72.8294147,18.9669675,"715015486",2001,"police","Nagpada Polic Station"
"4660",76.1175354,32.5603108,"716376701",2001,"police","Police Station Sultanpur"
"4680",80.1430383,17.2516904,"720692421",2001,"police","Traffic police"
"4704",77.5865812,11.277733,"725513774",2001,"police","Police Station"
"4712",78.4646076,17.4110866,"726162714",2001,"police","Saifabad Police Station"
"4857",77.0407163,8.524688,"744851865",2001,"police","Vilappilsala Police Station"
"4903",80.2209287,12.980828,"747616884",2001,"police","Velachery"
"4906",73.9907808,17.6877644,"748142927",2001,"police","Satara Rural Police Station"
"4909",75.8951657,22.7516102,"748576856",2001,"police","Vijay Nagar Police Station"
"4970",77.0256424,28.8055119,"762031782",2001,"police","Bawana Police station"
"4977",78.0670135,32.2281116,"762051642",2001,"police","Kaza Police Station"
"4982",77.6401032,13.0197904,"762079646",2001,"police","Banaswadi Police Station"
"5058",76.948541,13.3094556,"768555312",2001,"police","Gubbi Police Station"
"5066",73.8708098,18.5239333,"772561104",2001,"police",NA
"5173",76.180578,32.9622581,"774382360",2001,"police","Bhanodi Police Post"
"5195",75.791689,11.226804,"775947092",2001,"police","Panniankara Police Station"
"5202",75.7500555,30.7936369,"778367110",2001,"police","PS Jodha"
"5306",76.6585964,9.7996053,"801903654",2001,"police","Ramapuram Police Station"
"5330",76.9681824,10.9952707,"803271976",2001,"police",NA
"5331",76.9677805,10.9990022,"803272013",2001,"police",NA
"5345",75.850855,30.9167914,"803867185",2001,"police","Div No. 1"
"5383",76.667878,32.7233785,"810016403",2001,"police","Police Station, Udaipur"
"5408",75.7754175,11.2717091,"812800624",2001,"police","Nadakkave Police Station"
"5457",78.4747838,17.4439607,"817354500",2001,"police","Begumpet Police Station"
"5470",77.6677174,13.0121841,"818628224",2001,"police","Ramamurthinagar Police Station"
"5666",77.6827958,12.9550828,"844415776",2001,"police","HAL Police Station"
"5672",77.6384106,12.983019,"844462412",2001,"police","Indira Nagar Police Station"
"5765",77.1863189,32.2368927,"856402273",2001,"police","Police Station Manali"
"5772",72.8290998,18.9569275,"858544370",2001,"police","Null Bazaar Police Chowkie"
"5773",72.832021,18.9541719,"858544419",2001,"police","Pydhoni Police Station"
"5789",72.8390488,18.9621396,"860348747",2001,"police","Dongri Police Station"
"5792",72.832291,18.963006,"861239805",2001,"police","Sir JJ Marg Police Station"
"5820",72.830992,18.9222091,"870455644",2001,"police","Colaba Police Station"
"5836",75.5320264,30.3616575,"871754549",2001,"police","Ploice Lines"
"5886",78.5006359,17.4619915,"889682550",2001,"police","Karkhana Police Station"
"5924",78.4790905,17.4436297,"902311102",2001,"police","Begumpet Traffic Police"
"5973",75.8522202,30.8634232,"916539509",2001,"police","Police Chownki Merado Thana Sadar"
"6021",75.8403055,30.8724475,"917611980",2001,"police","police station"
"6029",75.8700805,30.866248,"917854688",2001,"police","Police station"
"6320",75.5366281,30.3721562,"919705923",2001,"police","S.S.P Office"
"6359",83.2812926,17.7348024,"923938721",2001,"police",NA
"6445",78.4649177,17.4223157,"928692475",2001,"police",NA
"6545",75.8859333,30.8673175,"932056215",2001,"police","Police Station DABA(URBAN)"
"6561",80.1862162,13.0447322,"934859086",2001,"police","Police Booth"
"6570",80.6429327,16.2381436,"936693251",2001,"police","Three Town police station"
"6600",77.6556937,12.9677712,"940525605",2001,"police","Jeevan Bhima Nagar Police Station"
"6670",77.195973,28.6028299,"947950554",2001,"police","Chanakyapuri"
"6733",77.6105652,12.9086369,"951203526",2001,"police","Mico Layout Police Station"
"6744",80.2625092,13.2718063,"951833229",2001,"police","E6"
"6749",77.5439681,12.935917,"953626886",2001,"police","Girinagar Police Station"
"6817",80.2725042,13.0749088,"966556101",2001,"police","Chintadripet"
"6820",77.5758979,13.0335598,"966862788",2001,"police","Sanjaynagar Police station"
"6889",95.315988,27.354092,"975687059",2001,"police",NA
"6912",76.4666071,15.3340185,"977478679",2001,"police","Hampi Traffic Polic"
"6915",76.4661813,15.3341111,"977478701",2001,"police","Hampi PS"
"6930",94.9151069,27.1843431,"980057167",2001,"police",NA
"6997",80.1257959,12.9692797,"983961147",2001,"police","Police Station"
"7005",80.2117315,13.049673,"984217571",2001,"police","Vadapalani Police station"
"7018",72.8543819,19.1664849,"985121037",2001,"police","Aarey Police Station"
"7019",72.8576756,19.1558742,"985121043",2001,"police","Goregaon (E) Police Station"
"7072",80.1517533,17.4448529,"988847049",2001,"police","Police Station Dornakal"
"7075",80.1408514,17.2433951,"988892934",2001,"police","Central Crime Station"
"7122",76.6111451,9.6850543,"997582085",2001,"police","Kidangoor Police Station"
"7164",74.877801,31.6304462,"1005825482",2001,"police","Ram Bagh Police Station"
"7232",77.1637899,31.109083,"1012172559",2001,"police","Police Lines"
"7262",77.1571367,28.7170924,"1014270982",2001,"police","Shalimar Bagh Police Station"
"7272",95.3569119,27.4879061,"1014526717",2001,"police","Tinsukia Police Station"
"7288",80.1790069,13.0317737,"1015569835",2001,"police","Ramapuram Police Station"
"7293",80.7050059,17.5987776,"1015620256",2001,"police","Palwancha Town and Rural"
"7362",76.315901,10.046978,"1025332957",2001,"police",NA
"7374",77.5743475,12.9879201,"1026508950",2001,"police","Seshadripuram Police Station"
"7407",72.833389,18.9474438,"1034965532",2001,"police","Lokmanya Tilak Police Chowkie Beat No 4"
"7408",72.8331294,18.9463293,"1034965537",2001,"police","Lokmanya Tilak Police Station"
"7435",78.4839215,17.4211388,"1038395539",2001,"police",NA
"7437",78.4884062,17.4362885,"1038396678",2001,"police","Ramgopalpet Police Station"
"7538",78.4726829,17.4651671,"1050786517",2001,"police","Bowenpally Police Station"
"7560",76.9615341,10.9890037,"1051328308",2001,"police","Ukkadam Police Station(B2)"
"7561",76.9683463,11.0155688,"1051328344",2001,"police","Womens Police Station"
"7563",76.968307,11.0153033,"1051328360",2001,"police","Kattor Police Station"
"7564",76.9490401,10.911453,"1051328368",2001,"police","Madukkarai Police Station"
