"","lon","lat","osm_id","code","fclass","name"
"24",75.8422152,30.8896149,"173472544",2005,"post_office",NA
"118",77.6008383,12.8980535,"247964328",2005,"post_office","IIMB post office - Bilekahalli"
"137",80.2573785,13.039407,"248643757",2005,"post_office","Alwarpet"
"172",80.2790111,13.0828196,"258890798",2005,"post_office","Park Town PO"
"180",77.6266252,12.9271867,"263227115",2005,"post_office","Koramangala 3rd Block"
"188",80.2430157,13.0605534,"264481214",2005,"post_office","Nungambakkam"
"192",77.0479624,28.473621,"266376438",2005,"post_office",NA
"193",77.0480053,28.473206,"266376644",2005,"post_office",NA
"211",77.1676261,28.510203,"266442534",2004,"post_box",NA
"218",77.6487875,12.9056265,"266472080",2004,"post_box",NA
"227",79.1723325,26.6618467,"266584735",2005,"post_office",NA
"231",77.0315003,28.4620809,"266599672",2005,"post_office",NA
"284",87.3179349,23.5688077,"273514004",2005,"post_office","B-Zone Post Office"
"315",73.9171938,18.5078298,"280430691",2004,"post_box",NA
"378",75.7799088,11.2486912,"289607572",2005,"post_office","Big Bazaar"
"415",82.9825623,25.3356089,"293484374",2005,"post_office",NA
"429",92.74135,11.66583,"293675358",2005,"post_office",NA
"439",92.74585,11.67188,"293690184",2005,"post_office","Aberdeen Bazar Post Office"
"466",80.2075642,13.0846666,"295544408",2005,"post_office","Anna Nagar post office"
"470",77.5665181,13.0139623,"295751003",2005,"post_office","IISc Post Office"
"519",80.2529292,13.0408055,"301738743",2004,"post_box",NA
"523",80.2523614,13.0486738,"301947498",2004,"post_box",NA
"524",80.2563741,13.0422689,"301947499",2004,"post_box",NA
"529",80.2485425,13.0474874,"302884332",2005,"post_office","Teynampet West"
"530",80.2472853,13.0396928,"302884335",2005,"post_office","Teynampet South"
"538",80.2496074,13.0423774,"303536868",2004,"post_box",NA
"539",80.2516873,13.0333983,"303569589",2004,"post_box",NA
"542",80.2569897,13.0332378,"303590824",2004,"post_box",NA
"543",80.2591738,13.0314918,"303590923",2005,"post_office",NA
"547",80.2580934,13.0287008,"303590946",2004,"post_box",NA
"548",80.2540801,13.0290067,"303590951",2004,"post_box",NA
"549",80.2504098,13.029844,"303590955",2004,"post_box",NA
"550",80.2528387,13.0380671,"303601613",2005,"post_office","Eldams Road Post Office"
"552",77.583314,12.9303756,"303917702",2005,"post_office","Jayanagar 3rd Block PO"
"621",77.6630046,12.8398359,"308773504",2005,"post_office","Electronics City Post Office"
"669",77.6372372,12.9141115,"310395763",2005,"post_office","HSR PO"
"674",80.2769884,13.0874773,"310506633",2005,"post_office",NA
"738",77.6359498,12.9608935,"312599850",2005,"post_office","Domlur Post office"
"751",80.1904075,12.9805594,"313946123",2005,"post_office",NA
"752",80.1987969,12.9631622,"313946355",2005,"post_office",NA
"753",80.1876904,12.9890986,"313950308",2005,"post_office",NA
"845",78.5255931,17.4202457,"321714693",2005,"post_office","post office"
"860",74.4244276,34.0590491,"324219422",2004,"post_box",NA
"885",79.8345023,11.9365955,"325414536",2005,"post_office","Bureau de poste de Sri Aurobindo Ashram"
"901",74.866476,31.6377424,"327584768",2005,"post_office","Head Post Office Amrisar"
"907",76.950568,11.0106209,"330069964",2005,"post_office","Head Post Office"
"989",80.2526487,13.0350875,"339090560",2004,"post_box",NA
"993",73.2398525,19.1634091,"339122376",2005,"post_office","Kulgaon Postoffice"
"1015",80.2648375,12.9757366,"340185482",2004,"post_box",NA
"1201",80.2040134,13.055399,"343456161",2005,"post_office","Saligram Post office"
"1271",72.833846,19.0566557,"348116783",2005,"post_office","Bandra Post Office"
"1290",78.3910803,17.4416304,"349267492",2005,"post_office","Cyberabad Post Office"
"1349",70.9081213,26.9137522,"353703050",2005,"post_office","Post office"
"1382",76.9478103,8.4950647,"354065009",2005,"post_office","General Post Office"
"1402",80.1554845,12.5041911,"354936849",2005,"post_office",NA
"1423",73.0230635,26.28605,"355028977",2005,"post_office","Central Post Office"
"1428",77.1723304,28.645835,"355436031",2004,"post_box",NA
"1429",77.0516152,28.4841096,"355436033",2004,"post_box",NA
"1430",77.0436967,28.416425,"355436035",2005,"post_office","South City II Post Office"
"1450",73.6904241,24.5915574,"356480192",2005,"post_office","Main Post Office"
"1463",80.1613604,12.5125517,"358151918",2004,"post_box",NA
"1487",77.6214543,12.9298186,"363758557",2005,"post_office","St Johns Post Office"
"1492",77.5860466,12.9238628,"364629083",2005,"post_office","Jayanagar 4th Block Post Office"
"1493",77.576528,12.9224908,"364629322",2005,"post_office",NA
"1727",80.246339,13.0370578,"389516056",2004,"post_box",NA
"1801",79.3488868,13.6777205,"395733305",2005,"post_office","Tirumala Post Office"
"1886",79.3504113,13.6777919,"405392410",2005,"post_office","Tirumala Post and Telegraph Office"
"1906",80.2656369,13.0261502,"410615442",2005,"post_office","RA Puram Post Office"
"1938",77.1209508,28.4787294,"415257456",2004,"post_box","Arjangarh"
"1997",76.6192635,9.4244651,"425248524",2005,"post_office","Mundiappally PO"
"2096",77.219296,28.5895467,"436905721",2005,"post_office","Head Post Office (GPO)"
"2196",77.0332968,28.4563163,"449449509",2004,"post_box",NA
"2274",72.804561,18.9554449,"455270426",2005,"post_office","Malabar Hill Post Office"
"2349",72.7956651,18.9462864,"467148308",2004,"post_box",NA
"2362",80.2547402,13.0594542,"471986873",2005,"post_office","Greams Road"
"2369",77.0151204,10.9980365,"472267693",2004,"post_box",NA
"2386",76.9424513,11.2879873,"472269730",2004,"post_box",NA
"2429",72.8122395,18.9603023,"477642546",2004,"post_box",NA
"2515",72.832684,18.9201091,"487995372",2004,"post_box",NA
"2516",72.8310794,18.9188815,"487995390",2004,"post_box",NA
"2538",72.8233549,18.9296681,"492500315",2005,"post_office","New Yogakshema"
"2612",78.0569349,30.4672265,"503410912",2004,"post_box",NA
"2618",78.0789659,30.4519343,"506119098",2004,"post_box",NA
"2626",78.0777362,30.4561391,"506456694",2004,"post_box",NA
"2647",76.3237182,32.2386336,"513003908",2004,"post_box",NA
"2648",76.3250726,32.2367599,"513003914",2005,"post_office","Mcloedgunj Post Office"
"2713",78.1322291,9.9316574,"518991793",2005,"post_office","Tallakulam  Post Office"
"2739",77.5531101,13.0508316,"521157750",2005,"post_office","Jalahalli Post Office"
"2751",78.8095724,10.2492368,"523672468",2005,"post_office","Rayavaram Post Office"
"2788",78.4441541,17.4373464,"534091118",2004,"post_box","S. R. Nagar Post Office"
"2928",76.6426474,12.2924114,"542430625",2004,"post_box","Sharada Vilas Post Office"
"2988",76.0979312,10.9209272,"553102020",2005,"post_office","Edayur North Post Office"
"2991",76.2170883,31.9957098,"554049247",2004,"post_box",NA
"3041",76.3857581,32.1729905,"560443029",2005,"post_office","Yol Post Office"
"3107",75.8035385,26.917309,"566811986",2005,"post_office","Central Post GPO"
"3108",75.82549,26.92336,"566815183",2005,"post_office","Post Bazar"
"3152",77.3715254,28.6388901,"571589488",2004,"post_box",NA
"3250",77.5928265,13.0216684,"582591613",2005,"post_office","RT Nagar"
"3274",76.9055257,31.5325888,"583220470",2005,"post_office","Head Post Office, Sundernagar"
"3277",76.9010862,31.5344517,"583230996",2005,"post_office","Sub Post Office, Purana Sundernagar"
"3299",76.8843497,31.5146173,"583541922",2004,"post_box",NA
"3310",76.8986681,31.5355833,"583543379",2004,"post_box",NA
"3326",76.9483873,8.534797,"588740509",2005,"post_office","Post Office, Muttada"
"3334",77.5956684,12.9814768,"590067489",2004,"post_box",NA
"3436",77.1047119,28.6747317,"599901630",2004,"post_box",NA
"3442",76.2414371,9.9655551,"600348707",2005,"post_office","Fort Cochin Post Office"
"3469",80.9456542,26.8447278,"602509458",2004,"post_box",NA
"3489",72.8284002,18.9450359,"605221733",2005,"post_office","Kalbadevi Post Office 400002"
"3495",72.8285807,18.9434282,"605222670",2004,"post_box",NA
"3543",72.5848584,23.107121,"611572685",2004,"post_box","Chandkheda"
"3563",77.1637209,28.5571803,"613342451",2004,"post_box",NA
"3565",77.1656027,28.5672852,"613342453",2004,"post_box",NA
"3578",75.4314337,31.2128001,"617819772",2005,"post_office","Uggi"
"3658",77.5664416,13.0170367,"624991906",2004,"post_box",NA
"3724",77.0889655,31.2474102,"627244325",2005,"post_office","Tattapani Post Office"
"3763",72.5804476,23.0606452,"631819339",2004,"post_box",NA
"3774",77.5684264,13.0146272,"634061618",2004,"post_box",NA
"3797",78.5110173,17.4081032,"635722806",2004,"post_box","Vidyanagar Post Office"
"3818",77.5627205,13.0188903,"638916435",2004,"post_box",NA
"3819",77.5537972,13.0326654,"638988095",2005,"post_office","Shree Chowdeshwari Post Office"
"3899",73.2399728,19.1632488,"653125037",2004,"post_box",NA
"3901",73.2306277,19.1667272,"653125065",2004,"post_box",NA
"3958",73.7847837,19.9979128,"660313545",2005,"post_office",NA
"4014",72.8349898,18.9346708,"662459688",2005,"post_office","Bazaar Gate Post Office"
"4111",80.1391047,17.2494812,"663981372",2004,"post_box",NA
"4284",79.1408707,10.7786454,"671862060",2005,"post_office","Head Post Office, Thanjavur"
"4312",73.8756503,18.5229317,"672223102",2005,"post_office","Pune General Post Office"
"4327",74.4508241,17.5914909,"672690245",2004,"post_box","Vaduj"
"4338",76.3686275,32.2005,"673857113",2005,"post_office","Rakkar Post Office"
"4369",80.1504446,17.2561468,"674066950",2005,"post_office","NSP Camp"
"4393",72.916821,19.132835,"674109017",2004,"post_box",NA
"4517",77.591876,12.9255101,"691930460",2004,"post_box","Tilaknagar Post Office"
"4583",77.1031772,28.4226886,"701939973",2005,"post_office","Sec-56 Post Office"
"4634",72.827395,18.9541461,"715015489",2005,"post_office","Madhavbaug PO"
"4666",76.2587972,32.2055545,"716622534",2005,"post_office","Sub Post Office, Chadhi"
"4690",77.0623935,28.5588615,"723739750",2004,"post_box",NA
"4700",77.5839427,11.2745036,"725283771",2004,"post_box","Professional Couriers"
"4702",77.5851753,11.2784734,"725284070",2005,"post_office","Perundurai Post Office"
"4715",78.4664469,17.402715,"726175222",2004,"post_box","Assembly Postbox"
"4775",77.6173186,12.8757246,"731740934",2004,"post_box","DLF New Town"
"4791",80.1451895,17.2378339,"734212369",2005,"post_office","Church Rd"
"4859",77.0223486,8.5384811,"744877160",2004,"post_box","Puliyarakonam Post Office"
"4924",80.2257634,12.9864198,"761159525",2004,"post_box","Opp Advent Church"
"4974",77.0356267,28.8018078,"762031794",2004,"post_box","Bawana post office 110039"
"5139",76.6097866,32.4561635,"773641804",2005,"post_office","Sub Post Office Hadsar"
"5286",77.1883245,32.2437986,"796867267",2005,"post_office","Post Office Manali"
"5303",76.2818425,9.9716677,"801839943",2005,"post_office","Ernakulam Head Post Office"
"5336",76.962227,11.0120468,"803389822",2004,"post_box",NA
"5343",76.9750386,11.0052257,"803684691",2005,"post_office",NA
"5378",76.6628555,32.7262523,"809962525",2005,"post_office","Sub Post Office Udaipur"
"5391",76.8654208,32.6351918,"810064399",2005,"post_office","Sub Post Office Jahlmah"
"5392",76.9376476,32.6024129,"810144913",2005,"post_office","Post Office Lote"
"5404",76.5937105,32.010067,"811015933",2005,"post_office","Post Office Bhuana"
"5512",76.9414792,13.307567,"827240285",2004,"post_box",NA
"5619",80.1410928,17.2353438,"838980130",2004,"post_box",NA
"5767",77.6230883,13.0059301,"857105876",2005,"post_office","St Thomastown Post Office"
"5770",72.8324233,18.9567216,"858473413",2005,"post_office","Mandvi Post Office"
"5785",72.8306964,18.9615866,"860303669",2005,"post_office","Null Bazaar Post Office"
"5811",80.1438605,17.2428293,"868545307",2005,"post_office","Sub Post Office"
"5815",73.8497231,18.4911226,"870317564",2004,"post_box",NA
"5826",73.7663802,18.5699952,"871497964",2005,"post_office","Baner Post Office"
"6263",75.8640522,30.8657718,"919601751",2005,"post_office","Shimlapuri Post Office"
"6356",75.100841,12.7642298,"922428313",2004,"post_box","Post Office"
"6365",75.112741,12.8060038,"925527735",2005,"post_office","Ananthady post office"
"6532",75.8838654,30.8695318,"929256011",2005,"post_office","Daba Road, Ludhiana (141014)"
"6562",80.1858951,13.0449256,"934859090",2004,"post_box","PostBox"
"6593",77.2809165,28.5357637,"939234779",2005,"post_office",NA
"6601",77.6678755,12.9584115,"940534676",2005,"post_office","HAL postoffice"
"6741",77.5454937,12.9407969,"951468113",2005,"post_office","Girinagar Post Office"
"6788",77.5417724,12.9321449,"959266145",2005,"post_office",NA
"6822",76.634753,9.7348796,"966935025",2005,"post_office","Palackattumala Post Office"
"6824",76.6113077,9.7427287,"966935049",2005,"post_office","Maranagattupilly Post Office"
"6845",76.0596616,32.5488986,"971639176",2004,"post_box",NA
"6851",75.9760827,32.5365002,"971639463",2005,"post_office",NA
"6880",79.3920723,18.6133051,"974441002",2004,"post_box",NA
"6886",95.3201401,27.3551951,"975644736",2005,"post_office","Duliajan Post Office"
"6902",78.538341,17.500603,"976475895",2004,"post_box","Yapral Post Office"
"6989",77.6988783,12.9950857,"983351449",2005,"post_office","Mahadevappura Post Office"
"7099",76.3403952,9.499963,"994696720",2005,"post_office",NA
"7100",76.3405934,9.4958679,"994696724",2005,"post_office",NA
"7107",80.1389974,17.2493993,"995261439",2004,"post_box",NA
"7128",80.1326859,12.9737394,"1000989064",2005,"post_office","Pammal Post Office"
"7210",77.1539241,31.1034772,"1012079100",2005,"post_office","Ambedkar Chowk Post Office"
"7215",77.1644049,31.105469,"1012084694",2005,"post_office","A.G. Sub Post Office"
"7219",77.1718377,31.1055101,"1012095675",2005,"post_office","Shimla GPO"
"7223",77.1777072,31.1021016,"1012095701",2005,"post_office","Comermere Sub Post Office"
"7226",77.1785859,31.089993,"1012103660",2005,"post_office","Shimla East Post Office"
"7270",95.3566504,27.4875248,"1014526695",2005,"post_office","Head Post Office"
"7347",80.2162949,13.0343672,"1024679299",2004,"post_box","Ashok pillar"
"7403",72.8373941,18.9502818,"1033756731",2005,"post_office","Masjid Post Office"
"7627",73.8462994,18.504229,"1054640402",2004,"post_box",NA
"7637",80.7971478,17.9091777,"1055890109",2005,"post_office",NA
"7646",77.5740606,12.9447608,"1058171422",2005,"post_office","Basawanagudi Post Office"
"7651",77.5928253,13.006983,"1060580204",2005,"post_office","J C Nagar Post Office"
"7676",79.1542834,12.9698227,"1064559867",2005,"post_office","Post Office"
"7784",80.138099,17.2393533,"1076465248",2004,"post_box",NA
"7808",75.3366877,31.0849579,"1078690610",2004,"post_box","post box shahkot"
"7834",74.991161,12.5023072,"1083026035",2004,"post_box","Kasaragod head Post office"
"7972",78.6410208,25.351012,"1109077298",2005,"post_office",NA
"7977",78.6409635,25.3509518,"1109077616",2004,"post_box",NA
"7999",77.1872498,28.5744997,"1114868893",2004,"post_box","Netaji Nagar Post Office"
"8039",73.0122467,19.0692053,"1122035532",2004,"post_box","Turbhe P.o"
"8081",77.7393358,23.4832776,"1124758534",2004,"post_box",NA
"8088",77.7375897,23.4857708,"1124758761",2004,"post_box",NA
"8089",77.7395119,23.4833494,"1124758785",2005,"post_office",NA
"8170",78.4727373,17.4660997,"1142705252",2005,"post_office",NA
"8471",77.4946424,10.2362369,"1168847666",2005,"post_office","Kodaikanal S.O"
"8486",72.8512892,19.1630365,"1169398229",2005,"post_office","Indian Post Office"
"8487",72.8489498,19.1663635,"1169474600",2005,"post_office","Post Office"
"8510",77.0609486,10.086309,"1172852830",2005,"post_office",NA
"8646",76.3739367,9.9429398,"1190898934",2004,"post_box","Thiruvankulam Post Office"
"8650",77.6301355,10.2814709,"1191337518",2005,"post_office","Post Office"
"8893",78.3195306,17.3934424,"1233343101",2005,"post_office",NA
"8894",78.3195574,17.3935038,"1233343102",2004,"post_box",NA
"8916",72.8122892,21.185518,"1236218918",2005,"post_office",NA
"8977",78.4952808,17.4412511,"1242176694",2004,"post_box",NA
"8987",76.1532762,15.3519628,"1242857591",2005,"post_office",NA
"8992",80.1927801,12.9912919,"1243946423",2005,"post_office",NA
"9042",74.027373,30.4071345,"1248415460",2005,"post_office","Main"
"9070",78.4526702,13.6340369,"1257868614",2004,"post_box",NA
"9081",78.4507024,13.6332585,"1260945375",2005,"post_office","Rishi Valley"
"9097",86.1699669,22.8031649,"1268353936",2005,"post_office","Kadma Post Office"
"9119",73.8287259,18.5128096,"1271226873",2004,"post_box",NA
"9200",78.9409102,22.0520009,"1281212805",2005,"post_office",NA
"9251",77.5627236,13.0090343,"1290107604",2005,"post_office",NA
