"","lon","lat","osm_id","code","fclass","name"
"12",75.8326955,30.8888319,"161959750",2082,"school","BCM School"
"31",75.8619517,30.7884443,"186684459",2082,"school","D.P.S. (Deshmesh public school) Sreenh"
"32",75.8829705,30.8689566,"191839926",2082,"school","Baba Mukand Singh Sr. Sec. School"
"35",75.8173479,30.8875806,"234381507",2082,"school","Baba Isher Singh Public School"
"43",75.9550323,30.8315985,"243968406",2082,"school","High School Dharour"
"44",75.9556724,30.831714,"243968424",2082,"school","Primary School Dharour"
"101",72.9256871,19.0436727,"246446609",2082,"school","Home for mental deficient childern"
"121",77.6025994,12.8772119,"247966855",2082,"school",NA
"167",75.9004881,31.5276352,"257726886",2082,"school","Shishu Shikhsha Mandir School"
"168",75.9016211,31.5272913,"257727049",2082,"school","Govt. College"
"183",77.6517898,12.9187516,"263472508",2082,"school","Angel Heart Montessori Play School"
"198",77.166546,28.5084497,"266378530",2082,"school","Heritage International School"
"199",77.1634819,28.5117155,"266378545",2082,"school","Deep Public School"
"276",74.4007125,31.4739484,"271096995",2082,"school","DPS Girls"
"277",77.1378574,28.489358,"271335768",2082,"school",NA
"287",87.3479767,23.5816947,"273518425",2082,"school","Bijra High School"
"290",74.3996152,31.5503973,"275110114",2082,"school","Vet. Uni"
"320",76.7014757,11.4124436,"280942706",2082,"school","Breeks All India Secondary School"
"334",76.701164,11.378769,"283102681",2082,"school","Lawrence School"
"345",76.6942109,11.4070228,"283615937",2082,"school","Nazareth Convent"
"355",74.845393,12.8743451,"286999980",2082,"school","St. Aloysius School"
"368",75.83145,11.2583,"289607510",2082,"school","Bharatiya vidya bhavan school"
"369",75.84853,11.22733,"289607512",2082,"school","Pantheerankave High School"
"371",75.8191,11.2629,"289607515",2082,"school","Nellikode school"
"372",75.7950993,11.2545667,"289607517",2082,"school","HILL TOP school"
"373",75.8542269,11.1981351,"289607522",2082,"school","Farook Higher Secondary School"
"376",75.929746,11.311888,"289607560",2082,"school","Spring Valley School"
"392",76.7076641,11.4152621,"290585815",2082,"school","Kingsbury Nursery School"
"397",76.9466707,11.2808397,"292239800",2082,"school",NA
"504",80.2029459,12.9853147,"300467984",2082,"school","New Prince Higher Secondary"
"505",80.206505,12.9868373,"300468062",2082,"school","St. Marks School"
"528",75.584562,31.3177238,"302575506",2082,"school","APJ School"
"594",75.8490037,30.3393471,"307442661",2082,"school","Govt. High School"
"597",75.8284447,30.8887179,"308025377",2082,"school","GNP School"
"598",75.8182652,30.890876,"308025621",2082,"school","GNP School"
"655",76.9615826,8.501973,"309627495",2082,"school","Govt. school, cotton hill"
"670",75.7009999,31.2693756,"310498224",2082,"school","DPS School"
"677",75.599961,31.308375,"310716930",2082,"school","St Joseph's Convent School Jalandhar Cantt"
"682",80.1859365,12.9917907,"310830715",2082,"school","Kendriya Vidyalaya"
"718",80.186583,12.9704142,"312014519",2082,"school","Brilliant Matriculation School"
"719",80.1894583,12.985101,"312015795",2082,"school","Mowbray's Matriculation Higher Secondary School"
"722",77.0525305,28.4295352,"312101676",2082,"school","Delhi Public School, Primary Section"
"724",77.0458728,28.4463106,"312101690",2082,"school","CR Model Public School"
"823",77.0242479,11.1047421,"321420715",2082,"school","United Physically Handicapped School"
"824",77.0090525,11.090002,"321420716",2082,"school","Vimal Jothi Convent School"
"894",80.2460833,12.8861992,"325787792",2082,"school","Shri Sakthi Vidyalaya"
"904",76.9474178,11.0049837,"330069938",2082,"school","Corporation Boys High School"
"905",76.9494051,11.0056048,"330069956",2082,"school","Corporaton School for Deaf"
"908",76.9496918,11.0129029,"330069967",2082,"school","Bharatiya Vidya Bhavan Matriculation Higher Secondary School"
"909",76.9468444,11.0131455,"330069969",2082,"school","SRP Ponnuswamy Chettiar Sundrammal Vidhyalaya Matric School"
"910",76.9486042,11.0106805,"330069972",2082,"school","Vidya Vriksha Play School"
"911",76.942949,11.0130484,"330069974",2082,"school","Bishop Ubaharam School"
"916",76.9641166,11.0077787,"330070078",2082,"school","Kattur Municipal Elementary School"
"956",77.5980563,13.1706334,"332943523",2082,"school","Stonehill International School"
"977",77.0465147,28.4636101,"335970186",2082,"school","Salvan Public School"
